name,customizable_games,children's_games,thematic_games,strategy_games,abstract_games,family_games,wargames,party_games
Swords and Bagpipes,0,0,1,0,0,0,0,0
Victory at Midway,0,0,0,0,0,0,1,0
Zen Garden,0,0,0,0,0,0,0,0
Last Frontier: The Vesuvius Incident,0,0,1,0,0,0,1,0
La Bataille de Lützen,0,0,0,0,0,0,1,0
"Ici, c'est la France! The Algerian War of Independence 1954 - 1962",0,0,0,0,0,0,1,0
Trickster: Champions of Time,0,0,0,0,0,0,0,0
Minute Realms,0,0,0,0,0,0,0,0
Swish,0,0,0,0,1,1,0,0
Shaky Manor,0,1,0,0,0,0,0,0
Bukiet,0,0,0,0,0,0,0,0
The Treasure of Isla Tortuga,0,0,0,0,0,0,0,0
Problem Picnic: Attack of the Ants,0,0,0,0,0,0,0,0
Lords of War:  Elves versus Lizardmen,0,0,0,0,0,0,0,0
"Interceptor Ace: Daylight Air Defense Over Germany, 1943-44",0,0,0,0,0,0,1,0
Plunder,0,0,1,0,0,0,0,0
Penny Papers Adventures: Skull Island,0,0,0,0,0,0,0,0
The Stock Car Championship Racing Card Game,0,0,0,1,0,0,0,0
Thieves Den,0,0,0,0,0,0,0,0
'65: Squad-Level Combat in the Jungles of Vietnam,0,0,0,0,0,0,1,0
Risk: The Walking Dead - Survival Edition,0,0,1,0,0,0,1,0
Mound Builders,0,0,0,0,0,0,1,0
Journey: Wrath of Demons,0,0,1,1,0,0,0,0
Antler Island,0,0,0,1,0,1,0,0
Dead of Winter: The Battle of Stones River (Second Edition),0,0,0,0,0,0,1,0
Animal Upon Animal: Small and Yet Great!,0,0,0,0,0,0,0,0
Centauri Saga,0,0,0,1,0,0,0,0
Title Bout,0,0,1,0,0,0,0,0
Fast Food Franchise,0,0,0,1,0,0,0,0
Siggil,0,0,0,0,0,0,0,0
Tasso,0,0,0,0,1,1,0,0
Verflixxt! kompakt,0,0,0,0,0,1,0,0
Mutant Crops,0,0,0,0,0,0,0,0
Ur: 1830 BC,0,0,0,1,0,0,0,0
Langfinger,0,0,0,0,0,1,0,0
Fairy Trails,0,0,0,0,0,0,0,0
Lutèce,0,0,0,0,0,1,0,0
Mal Trago,0,0,0,0,0,0,0,0
Los Banditos,0,0,0,0,0,1,0,0
Teenage Mutant Ninja Turtles Adventures: City Fall,0,0,0,0,0,0,0,0
The Court of Miracles,0,0,0,0,0,0,0,0
1914: Glory's End / When Eagles Fight,0,0,0,0,0,0,1,0
"Here, Kitty, Kitty!",0,0,0,0,0,0,0,0
"So Long, My World",0,0,1,0,0,0,0,0
Streets of Stalingrad (Third Edition),0,0,0,0,0,0,1,0
Go Go Gelato!,0,1,0,0,0,0,0,0
Zopp,0,0,0,0,0,0,0,0
Borderlands,0,0,1,0,0,0,0,0
Break the Safe,0,0,0,0,0,1,0,0
Sigismundus Augustus: Dei gratia rex Poloniae,0,0,0,1,0,0,0,0
Clash for a Continent:  Battles of the American Revolution and French & Indian War,0,0,0,0,0,0,1,0
Arkham Investigator,0,0,1,0,0,0,0,0
Dogfight,0,0,0,0,0,1,1,0
Blank Slate,0,0,0,0,0,0,0,0
Scrutineyes,0,0,0,0,0,0,0,0
Swords & Sorcery: Quest and Conquest in the Age of Magic,0,0,0,0,0,0,1,0
The Liberation of Rietburg,0,0,0,0,0,0,0,0
Death Valley: Battles for the Shenandoah,0,0,0,0,0,0,1,0
Munchkin Conan,0,0,0,0,0,0,0,0
Wazabi,0,0,0,0,0,0,0,1
The King's Armory,0,0,0,1,0,0,0,0
Alicematic Heroes,0,0,0,1,0,0,0,0
Bridge Troll,0,0,0,0,0,1,0,0
...und tschüss!,0,0,0,0,0,1,0,0
Empires in America: The French and Indian War,0,0,0,0,0,0,1,0
Dawn of the Zeds,0,0,1,0,0,0,1,0
"Afrika: The Northern African Campaign, 1940-1942",0,0,0,0,0,0,1,0
Nevada City,0,0,0,0,0,0,0,0
Bucket King 3D,0,0,0,0,0,1,0,0
Winter War: The Russo-Finnish Conflict,0,0,0,0,0,0,1,0
Marne 1918: Friedensturm,0,0,0,0,0,0,1,0
L.A.M.A. Party Edition,0,0,0,0,0,0,0,0
Fantasy Defense,0,0,0,0,0,0,0,0
Rebel Raiders on the High Seas,0,0,0,0,0,0,1,0
Bismarck (Second Edition),0,0,0,0,0,0,1,0
Hattrick,0,0,0,0,0,1,0,0
Zombiaki II: Attack on Moscow,0,0,1,0,0,0,0,0
Flight Leader,0,0,0,0,0,0,1,0
Axis & Allies Air Force Miniatures: Angels 20,1,0,0,0,0,0,1,0
Haunt the House,0,0,0,0,0,0,0,0
Resistor_,0,0,0,0,0,0,0,0
The HellGame,0,0,1,0,0,0,0,0
"Goblins Drool, Fairies Rule!",0,0,0,0,0,1,0,0
WARS Trading Card Game,1,0,0,0,0,0,0,0
Time Bomb Evolution,0,0,0,0,0,0,0,0
Second Season Pro Football Game,0,0,0,0,0,0,0,0
King's Gold,0,0,0,0,0,1,0,0
Panzer Command: The Gateway to Stalingrad,0,0,0,0,0,0,1,0
Brave Little Belgium,0,0,0,0,0,0,1,0
The Great City of Rome,0,0,0,0,0,0,0,0
Nertz,0,0,0,0,0,1,0,0
Critical Mass: Raijin vs Archon,0,0,0,0,0,0,0,0
Daxu,0,0,0,0,0,0,0,0
Extra! Extra!,0,0,0,1,0,0,0,0
Ca$h 'n Gun$: Live,0,0,0,0,0,0,0,1
Vikingar: The Conquest of Worlds,0,0,0,0,0,0,0,0
Napoleon's Last Gamble: Battles of the Hundred Days,0,0,0,0,0,0,1,0
CrossFire: Rules and Organizations for Company Level WW II Gaming,0,0,0,0,0,0,1,0
Floating Market,0,0,0,0,0,1,0,0
Moto Grand Prix,0,0,1,0,0,1,0,0
Judge Dredd,0,0,1,0,0,0,0,0
This Hallowed Ground,0,0,0,0,0,0,1,0
The Thing,0,0,1,0,0,0,0,0
Assault: Tactical Combat in Europe - 1985,0,0,0,0,0,0,1,0
Futuropia,0,0,0,1,0,0,0,0
Marvel Fluxx,0,0,0,0,0,0,0,0
BattleTech: A Game of Armored Combat,0,0,0,0,0,0,0,0
Fast Forward: FLEE,0,0,0,0,0,1,0,0
Dragon Brew,0,0,0,0,0,0,0,0
Breakthrough: Cambrai,0,0,0,0,0,0,1,0
Pacific Rails Inc.,0,0,0,0,0,0,0,0
"Lightning: Midway - June 4th to June 6th, 1942",0,0,0,0,0,0,1,0
Vabanque,0,0,0,0,0,0,0,0
Renegade Legion: Centurion - Blood & Steel,0,0,0,0,0,0,1,0
Anima Tactics,0,0,0,0,0,0,1,0
3 sind eine zu viel!,0,0,0,0,0,0,0,0
The Sorcerer's Cave,0,0,1,0,0,1,0,0
RWBY: Combat Ready,0,0,0,0,0,0,0,0
"Brazen Chariots: Battles for Tobruk, 1941",0,0,0,0,0,0,1,0
Outburst!,0,0,0,0,0,0,0,1
Federation & Empire,0,0,0,0,0,0,1,0
Munchkin Fu,0,0,1,0,0,0,0,0
Wongar,0,0,0,0,0,0,0,0
Warangel,0,0,0,0,0,0,1,0
Belle of the Ball,0,0,0,0,0,1,0,0
Karesansui,0,0,0,0,1,1,0,0
Warmachine: High Command,1,0,0,1,0,0,0,0
Funkoverse Strategy Game: Golden Girls 100 - Rose and Blanche,0,0,0,0,0,0,0,0
Avignon: A Clash of Popes,0,0,0,0,0,0,0,0
Catan: Family Edition,0,0,0,0,0,0,0,0
Lemminge,0,0,0,0,0,1,0,0
Chariot Race,0,0,0,0,0,0,0,0
Halloween,0,0,0,1,0,0,0,0
Templar: The Secret Treasures,0,0,0,0,0,1,0,0
Urbanization,0,0,0,1,0,0,0,0
Hecatomb,1,0,0,0,0,0,0,0
Destination X,0,0,0,0,0,0,0,0
Guild Master,0,0,0,0,0,0,0,0
Locke & Key: The Game,0,0,0,1,0,0,0,0
Winterborne,0,0,0,0,0,0,0,0
Klondike,0,1,0,0,0,0,0,0
Easter Island,0,0,0,0,1,0,0,0
Battle for Stalingrad,0,0,0,0,0,0,1,0
Dungeonbowl: Elves & Dwarfs,0,0,1,1,0,0,0,0
"Red Storm: The Air War Over Central Germany, 1987",0,0,0,0,0,0,1,0
Panthalos,0,0,0,1,0,0,0,0
RattleSnake,0,1,0,0,0,1,0,0
Oilfield,0,0,0,1,0,0,0,0
Halli Galli,0,1,0,0,0,0,0,1
Rory's Story Cubes: Clues,0,0,0,0,0,0,0,0
Heads of State,0,0,0,1,0,0,0,0
Unknown,0,0,0,0,0,0,0,0
1822MX,0,0,0,0,0,0,0,0
Three-Dragon Ante: Legendary Edition,0,0,0,0,0,0,0,0
Red Flags,0,0,0,0,0,0,0,0
L'Aéropostale,0,0,0,0,0,0,0,0
Magestorm,0,0,1,0,0,0,1,0
The Stonebound Saga,0,0,0,1,0,0,0,0
Slide Blast,0,0,0,0,0,0,0,0
Yomi: Round 1,0,0,0,0,0,0,0,0
"Raiders of the Deep: U-boats of the Great War, 1914-18",0,0,0,0,0,0,1,0
Nostra City,0,0,1,0,0,0,0,0
OrganATTACK!,0,0,0,0,0,0,0,0
Camden,0,0,0,1,1,0,0,0
Prohis,0,0,0,0,0,0,0,0
Eagles: Waterloo,1,0,0,0,0,0,1,0
The Killing Ground,0,0,0,0,0,0,1,0
"Barbarossa: Army Group Center, 1941",0,0,0,0,0,0,1,0
Scuttle!,0,0,0,0,0,0,0,0
TROLL,0,0,0,0,0,0,0,0
SpaceShipped,0,0,0,0,0,0,0,0
Russian Civil War 1918-1922,0,0,0,0,0,0,1,0
Eastern Front Tank Leader,0,0,0,0,0,0,1,0
Secret Code 13+4,0,0,0,0,0,0,0,0
Cartoon Network Crossover Crisis Deck-Building Game,0,0,0,0,0,0,0,0
"Charlemagne, Master of Europe",0,0,0,0,0,0,1,0
Power & Weakness,0,0,0,1,0,0,0,0
"Exceed: Red Horizon - Satoshi, Mei Lien, Morathi, and Baelkhor",0,0,0,0,0,0,0,0
Wizard's Academy,0,0,0,0,0,0,0,0
Joan of Arc,0,0,0,1,0,0,1,0
Bucket Brigade,0,0,0,0,0,1,0,0
Vampire Queen,0,0,0,0,0,0,0,0
Heights of Courage: The Battle for the Golan Heights,0,0,0,0,0,0,1,0
Warhammer: The Island of Blood,0,0,0,0,0,0,1,0
Dust Warfare: Core Rulebook,0,0,0,0,0,0,1,0
Traintopia,0,0,0,0,0,0,0,0
Leningrad,0,0,0,0,0,0,1,0
The Ming Voyages,0,0,0,0,0,0,0,0
Ominoes,0,0,0,0,0,0,0,0
Wilderness,0,0,1,0,0,0,0,0
Red White & Blue Racin' Stock Car Action Game,0,0,0,0,0,0,0,0
Mount Everest,0,0,0,0,0,0,0,0
Cosmic Wimpout,0,0,0,0,0,1,0,1
Aztlán,0,0,0,0,0,0,0,0
Dastardly Dirigibles,0,0,0,0,0,0,0,0
The Western Front: 1914 to 1918,0,0,0,0,0,0,1,0
Heckmeck Barbecue,0,0,0,0,0,1,0,0
Tea for 2,0,0,0,0,0,0,0,0
Minigolf Designer,0,0,0,0,0,0,0,0
Axis & Allies & Zombies,0,0,0,1,0,0,1,0
Dreams,0,0,0,0,0,0,0,0
Firepower,0,0,0,0,0,0,1,0
Lobositz: First Battle of the Seven Years War,0,0,0,0,0,0,1,0
Guns & Steel: Renaissance,0,0,0,0,0,0,0,0
Briscola,0,0,0,0,0,0,0,0
18VA,0,0,0,1,0,0,0,0
Bastion,0,0,0,0,0,0,0,0
Web of Spies,0,0,0,0,0,0,0,0
Highway to the Reich: Operation Market-Garden 17-26 September 1944 - 2nd Edition,0,0,0,0,0,0,1,0
Dice Heist,0,0,0,0,0,0,0,0
Revolution of 1828,0,0,0,0,0,0,0,0
Cover Your Kingdom,0,0,0,0,0,0,0,0
Dice Brewing,0,0,1,0,0,1,0,0
Dragon Rampant: Fantasy Wargaming Rules,0,0,0,0,0,0,0,0
Villages,0,0,0,0,0,1,0,0
Grass,0,0,1,0,0,0,0,1
Trick Shot,0,0,0,0,0,0,0,0
Normandy: The Beginning of the End,0,0,0,0,0,0,1,0
HorrorClix,1,0,0,0,0,0,0,0
Nautilus Industries,0,0,0,0,0,0,0,0
Star Trek: The Next Generation Fluxx,0,0,0,0,0,0,0,0
Ciúb,0,0,0,0,0,1,0,0
Dschungelschatz,0,1,0,0,0,0,0,0
"Wits & Wagers: It's Vegas, Baby!",0,0,0,0,0,0,0,0
Quetzal,0,0,0,0,0,0,0,0
Carcassonne für 2,0,0,0,0,0,0,0,0
Carthage,0,0,0,0,0,0,0,0
Rick and Morty: Close Rick-Counters of the Rick Kind Deck-Building Game,0,0,0,0,0,0,0,0
Deathwatch: Overkill,0,0,0,0,0,0,1,0
Proud Monster: The Barbarossa Campaign,0,0,0,0,0,0,1,0
Pathogenesis,0,0,0,0,0,0,0,0
Broadsides & Boarding Parties,0,0,1,0,0,0,0,0
Streams,0,0,0,0,0,0,0,0
Pea Ridge: The Gettysburg of the West March 7-8 1862,0,0,0,0,0,0,1,0
Ghost Chase,0,1,0,0,0,1,0,0
The New Easy to Master Dungeons & Dragons,0,0,1,0,0,0,0,0
Riftforce,0,0,0,0,0,0,0,0
Yu-Gi-Oh! Trading Card Game,1,0,0,0,0,0,0,0
Anno Domini: Natur,0,0,0,0,0,0,0,1
King Arthur: The Card Game,0,0,0,0,0,1,0,0
"Exceed: Red Horizon - Alice, Zoey, Gabrek, and Ulrik",0,0,0,0,0,0,0,0
Space Station,0,0,1,1,0,0,0,0
Entropy,0,0,0,1,0,1,0,0
Gringo!: The Mexican War 1846-48,0,0,0,0,0,0,1,0
Qwixx: Das Duell,0,0,0,0,0,0,0,0
Octiles,0,0,0,0,1,0,0,0
Jungle Speed: Rabbids,0,0,0,0,0,0,0,0
Roads to Stalingrad: Campaign Commander Series,0,0,0,0,0,0,1,0
Troika,0,0,0,0,0,0,0,0
EONS,0,0,0,1,0,0,0,0
Lock 'n Load: Heroes of the Gap,0,0,0,0,0,0,1,0
42,0,0,0,0,1,0,0,0
Bowl Bound,0,0,1,0,0,0,0,0
Chocolatl,0,0,0,1,0,1,0,0
Star Wars: Legion - Clone Wars Core Set,0,0,0,0,0,0,0,0
Typo,0,0,0,0,0,1,0,0
Minuscule,0,0,0,0,0,1,0,1
Plus Ultra: The Court of the Emperor Charles V,0,0,0,1,0,0,0,0
1836Jr,0,0,0,0,0,0,0,0
Magic: The Gathering - Explorers of Ixalan,0,0,0,0,0,0,0,0
ClipCut Parks,0,0,0,0,0,0,0,0
Overboss: A Boss Monster Adventure,0,0,0,0,0,0,0,0
For-Ex,0,0,0,0,0,0,0,0
AFFLICTION: Salem 1692,0,0,0,0,0,0,0,0
Doctor Panic,0,0,0,0,0,0,0,0
"Mrs Thatcher's War: The Falklands, 1982",0,0,0,0,0,0,1,0
Fun Farm,0,1,0,0,0,0,0,0
50 Clues: The Pendulum of the Dead,0,0,0,0,0,0,0,0
Albion's Legacy,0,0,1,0,0,0,0,0
Expo 1906,0,0,0,1,0,0,0,0
Tarock,0,0,0,0,0,0,0,0
El Alamein,0,0,1,0,0,0,1,0
Res Publica,0,0,0,1,0,0,0,0
Texas Glory,0,0,0,0,0,0,1,0
Piecepack,0,0,0,0,1,0,0,0
The Soo Line,0,0,0,0,0,0,0,0
The Legend of Robin Hood,0,0,1,0,0,0,1,0
Hamsterbacke,0,0,0,0,0,1,0,0
Monikers,0,0,0,0,0,0,0,0
Andor: The Family Fantasy Game,0,0,0,0,0,0,0,0
We Will Wok You,0,0,0,0,0,1,0,0
Berlin '85: The Enemy at the Gates,0,0,0,0,0,0,1,0
Elsenborn Ridge: Tactical Combat During the Battle of the Bulge - A Panzer Grenadier Game,0,0,0,0,0,0,1,0
Don Pepe,0,0,0,0,0,0,0,0
La Fallera Calavera: el joc de cartes valencià,0,0,0,0,0,1,0,1
Villagers & Villains,0,0,0,0,0,1,0,0
Chandragupta,0,0,0,0,0,0,1,0
Conquest,0,0,0,0,0,0,1,0
Mecanisburgo,0,0,1,0,0,0,0,0
Billionaire Banshee,0,0,0,0,0,0,0,0
Fire and Ice,0,0,0,0,1,0,0,0
Khan,0,0,0,0,0,0,0,0
Flix Mix,0,0,0,0,0,0,0,0
Der Pate,0,0,0,0,0,0,0,0
Industry,0,0,0,1,0,0,0,0
Ultimate Werewolf: Compact Edition,0,0,0,0,0,0,0,0
Hornet,0,0,0,0,0,1,0,0
Kult,1,0,0,0,0,0,0,0
Dungeon of Mandom VIII,0,0,0,0,0,0,0,0
The Pirate Republic,0,0,1,1,0,0,0,0
Titanium Wars,0,0,0,1,0,0,0,0
Catchup,0,0,0,0,1,0,0,0
Airborne in My Pocket,0,0,1,0,0,0,1,0
Wizards,0,0,1,0,0,0,0,0
For Crown & Kingdom,0,0,0,0,0,0,0,0
No Question of Surrender: The Battle for Bir Hacheim,0,0,0,0,0,0,1,0
Level 7 \91\Escape\93\,0,0,1,0,0,0,0,0
Buffalo Wings,0,0,0,0,0,0,1,0
Blood Feud in New York,0,0,1,0,0,0,0,0
Careers,0,0,0,0,0,1,0,0
Trader,0,0,0,0,0,1,0,0
"Roads to Moscow: Battles of Mozhaysk and Mtsensk, 1941",0,0,0,0,0,0,1,0
Star Trek Customizable Card Game (Second Edition),1,0,0,0,0,0,0,0
Twelve Heroes,0,0,0,0,0,0,0,0
Flying Kiwis,0,1,0,0,0,1,0,0
Kribbeln,0,0,0,0,0,0,0,0
Swordcrafters,0,0,0,0,0,0,0,0
Sports Illustrated Baseball,0,0,0,0,0,0,0,0
KOI,0,0,0,0,0,0,0,0
Fire!,0,0,0,0,0,0,0,0
Bellz!,0,0,0,0,0,1,0,1
Party Alias,0,0,0,0,0,0,0,0
The Great Space Race,0,0,1,1,0,0,0,0
Frostgrave: Second Edition,0,0,0,0,0,0,0,0
8Bit Box,0,0,0,0,0,0,0,0
Napoleon's Battles,0,0,0,0,0,0,1,0
Mit List und Tücke,0,0,0,0,0,0,0,0
COGZ,0,0,0,0,1,1,0,0
Operation Mercury: The Invasion of Crete,0,0,0,0,0,0,1,0
Landlord!,0,0,1,1,0,0,0,0
Suspicion,0,0,0,0,0,0,0,0
Not War But Murder,0,0,0,0,0,0,1,0
Flotsam Fight,0,0,0,0,0,0,0,0
Barker's Row,0,0,0,0,0,0,0,0
What's It to Ya?,0,0,0,0,0,0,0,1
Day Night Z,0,0,0,0,0,0,0,0
Olé!,0,0,0,0,0,0,0,0
Renegade Legion: Interceptor,0,0,0,0,0,0,0,0
Camelot,0,0,0,0,1,0,0,0
"Black Wednesday: The Battle of Krasni Bor, 10-11 Feb 1943",0,0,0,0,0,0,1,0
Mint Tin Aliens,0,0,0,0,0,0,0,0
Guards of Atlantis II: Tabletop MOBA,0,0,0,0,0,0,0,0
Darkrock Ventures,0,0,0,0,0,0,0,0
Ascension: Deliverance,0,0,0,0,0,0,0,0
House of Borgia,0,0,0,0,0,0,0,0
Where's Bob's Hat?,0,0,0,0,0,0,0,0
Chabyrinthe,0,0,0,0,0,1,0,0
Posthuman Saga,0,0,0,0,0,0,0,0
Munchkin Panic,0,0,0,0,0,1,0,0
Firestorm Armada,0,0,0,0,0,0,1,0
Blocks in the East,0,0,0,0,0,0,1,0
Tiny Park,0,0,0,0,0,0,0,0
Nanga Parbat,0,0,0,0,0,0,0,0
Holiday Fluxx,0,0,0,0,0,0,0,0
Steel Arena: Friday Night Robot Fight,0,0,0,0,0,0,0,0
Im Reich der Wüstensöhne,0,0,0,0,0,1,0,0
Exceed: Street Fighter - Ryu Box,0,0,0,0,0,0,0,0
Maze Racers,0,0,0,0,0,0,0,0
Gruff,1,0,0,0,0,0,0,0
Prowler's Passage,0,0,0,0,0,0,0,0
Neue Spiele im alten Rom,0,0,0,1,0,1,0,0
Russia Besieged,0,0,0,0,0,0,1,0
Glory III,0,0,0,0,0,0,1,0
Teenage Mutant Ninja Turtles Dice Masters: Heroes in a Half Shell,0,0,0,0,0,0,0,0
Treasures & Traps,0,0,1,0,0,1,0,0
Dragonscales,0,0,0,0,0,0,0,0
Ratzzia,0,0,0,0,0,0,0,0
De Bellis Multitudinis: Wargames Rules for Ancient and Medieval Battles - 3000 BC to 1500 AD,0,0,0,0,0,0,1,0
Armageddon War: Platoon Level Combat in the End War,0,0,0,0,0,0,1,0
Clash of the Gladiators,0,0,0,0,0,1,0,0
Urbino,0,0,0,0,0,0,0,0
Days of Steam,0,0,0,1,0,0,0,0
1832: The South,0,0,0,0,0,0,0,0
Razzia,0,0,0,1,0,1,0,0
The Boldest,0,0,0,0,0,0,0,0
Nētā-Tanka,0,0,0,0,0,0,0,0
Nine Tiles,0,0,0,0,0,0,0,0
Victoria Cross II: Battle of Isandlwana & Rorke's Drift,0,0,0,0,0,0,1,0
Tsuro: Phoenix Rising,0,0,0,0,0,0,0,0
Divided Republic,0,0,0,1,0,0,0,0
Red Badge of Courage,0,0,0,0,0,0,1,0
Relic Expedition,0,0,0,0,0,1,0,0
Blue Max: World War I Air Combat,0,0,0,0,0,0,1,0
Bongo!,0,0,0,0,0,0,0,0
Cornwall,0,0,0,0,0,0,0,0
GD '42: Grossdeutschland,0,0,0,0,0,0,1,0
1st & Roll,0,0,0,0,0,0,0,0
Café Melange,0,0,0,0,0,0,0,0
Can't Stop Express,0,0,0,0,0,0,0,0
Cyrano,0,0,0,0,0,0,0,1
Guerilla,0,0,0,0,0,0,1,0
Risk: StarCraft Collector's Edition,0,0,1,0,0,1,0,0
Mixmo,0,0,0,0,0,0,0,1
Kamisado Max,0,0,0,0,0,0,0,0
Chariot Lords,0,0,0,0,0,0,0,0
Epic Spell Wars of the Battle Wizards: Panic at the Pleasure Palace,0,0,0,0,0,0,0,0
Don't Tread on Me: The American Revolution Solitaire Board Game,0,0,1,0,0,0,1,0
Paco Ŝako,0,0,0,0,0,0,0,0
Soccero (Second Edition),0,0,1,0,0,1,0,0
Fields of Fire 2,0,0,0,0,0,0,1,0
RUMBLESLAM,0,0,0,0,0,0,0,0
Asteriated Grail,0,0,0,0,0,0,0,0
¡Adiós Calavera!,0,0,0,0,0,0,0,0
Hula Hippos,0,1,0,0,0,0,0,0
Río de la Plata,0,0,0,1,0,0,0,0
Devil Take the Hindmost,0,0,0,0,0,1,0,0
Bloom,0,0,0,0,0,0,0,0
Black Powder: Second Edition,0,0,0,0,0,0,1,0
"The Siege of Alesia: Gaul, 52 B.C.",0,0,0,0,0,0,1,0
Battle of the Bulge: Platoon Level Combat in World War II - A Panzer Grenadier Game,0,0,0,0,0,0,1,0
Millionen von Schwalben,0,0,0,0,0,0,0,0
Epic Spell Wars of the Battle Wizards: ANNIHILAGEDDON Deck-Building Game,0,0,0,0,0,0,0,0
Girl Genius: The Works,0,0,0,0,0,1,0,0
King of the Tabletop,0,0,0,0,0,0,0,0
Heroica: Fortaan,0,1,0,0,0,1,0,0
The BoardGameGeek Game,0,0,0,1,0,1,0,0
BEEEEES!,0,0,0,0,0,0,0,0
Anno Domini: Lifestyle,0,0,0,0,0,1,0,1
KUNE v LAKIA: A Chronicle Of A Royal Lapine Divorce Foretold,0,0,0,0,0,0,0,0
CV Pocket,0,0,0,0,0,0,0,0
The Goonies: Adventure Card Game,0,0,0,0,0,0,0,0
Sky Traders,0,0,1,1,0,0,0,0
The Masters' Trials: Wrath of Magmaroth,0,0,0,0,0,0,0,0
Dragonscroll,0,0,0,0,0,0,0,0
The Shared Dream,0,0,0,0,0,0,0,0
Prolix,0,0,0,0,0,1,0,0
Brides & Bribes,0,0,0,0,0,0,0,0
Lost Patrol,0,0,1,0,0,0,0,0
Mr. President,0,0,0,1,0,0,0,0
Hounded,0,0,0,0,0,0,0,0
Black Box +,0,0,0,0,1,0,0,0
Ghostbusters: Protect the Barrier Game,0,0,0,0,0,0,0,0
Barbaria,0,0,0,0,0,0,0,0
Qwantum,0,0,0,0,0,0,0,0
The Eagle and The Star,0,0,0,0,0,0,1,0
Napoleon Saga: Waterloo,0,0,0,0,0,0,1,0
Korrigans,0,0,0,0,0,1,0,0
Saturn,0,0,0,0,0,0,0,0
Shahrazad,0,0,0,0,0,0,0,0
Password Express,0,0,0,0,0,0,0,0
Uluru: Neuer Tumult am Ayers Rock,0,0,0,0,0,0,0,0
Way of the Samurai,0,0,0,0,0,0,0,0
Eaten by Zombies!,0,0,1,0,0,0,0,0
King Philip's War,0,0,0,0,0,0,1,0
Thud,0,0,0,0,1,0,0,0
Nightfall: Eastern Skies,0,0,0,0,0,0,0,0
Dark Venture,0,0,0,0,0,0,0,0
Battle for Armageddon,0,0,0,0,0,0,1,0
Kontor,0,0,0,1,0,0,0,0
Filler,0,0,0,0,0,0,0,0
Dwergar,0,0,0,0,0,0,0,0
Richthofen's War,0,0,0,0,0,0,1,0
Aliens: Bug Hunt,0,0,0,0,0,0,0,0
Santa Cruz 1797,0,0,0,0,0,0,1,0
The Mushroom Eaters,0,0,0,0,0,0,0,0
RoboDerby: Express,0,0,0,1,0,1,0,0
Bauhaus,0,0,0,0,1,0,0,0
Search for the Emperor's Treasure,0,0,1,0,0,0,0,0
Lock 'n Load Tactical: Heroes of the Pacific,0,0,0,0,0,0,1,0
Walk the Plank: Deluxe Edition,0,0,0,0,0,0,0,0
Great War at Sea: Jutland,0,0,0,0,0,0,1,0
Milito,0,0,0,0,0,0,1,0
Castle Knights,0,1,0,0,0,0,0,0
Clacks: A Discworld Board Game,0,0,0,0,0,0,0,0
Project Dreamscape,0,0,0,0,0,1,0,0
Pizza Theory,0,0,0,0,1,0,0,0
Tyler Sigman's Crows,0,0,0,0,0,0,0,0
Wrong Chemistry,0,0,0,0,0,1,0,0
Mondo Sapiens,0,0,0,0,0,0,0,0
Garden Competition,0,0,0,1,0,0,0,0
Holi: Festival of Colors,0,0,0,0,0,0,0,0
Pass the Bomb,0,0,0,0,0,0,0,1
Venedig,0,0,0,0,0,0,0,0
"Minuit, Meurtre en Mer",0,0,0,0,0,0,0,0
A Gleam of Bayonets: The Battle of Antietam,0,0,0,0,0,0,1,0
Verdun 1916: Steel Inferno,0,0,0,0,0,0,1,0
Atelier: The Painter's Studio,0,0,0,0,0,0,0,0
Atlas & Zeus,0,0,0,1,0,1,0,0
Moscow '41,0,0,0,0,0,0,1,0
Garum,0,0,0,0,0,0,0,0
Ancestree,0,0,0,0,0,0,0,0
Squint,0,0,0,0,0,0,0,1
Garbage Day!,0,0,0,0,0,0,0,0
Masque of the Red Death,0,0,0,0,0,0,0,0
Intruder,0,0,1,0,0,0,1,0
Tonkin: The First Indochina War (Second Edition),0,0,0,0,0,0,1,0
Der wahre Walter,0,0,0,0,0,0,0,0
Mayday!Mayday!,0,0,0,0,0,0,0,1
Manitoba,0,0,0,1,0,0,0,0
Copper Country,0,0,0,1,0,0,0,0
Quatre Bras 1815: Last Eagles,0,0,0,0,0,0,1,0
1857,0,0,0,0,0,0,0,0
Nut So Fast,0,0,0,0,0,0,0,0
Schummel Hummel,0,0,0,0,0,0,0,0
Blöde Kuh,0,0,0,0,0,0,0,0
The White Tribe: Rhodesia's War 1966-1980,0,0,0,0,0,0,1,0
18C2C: Manifest Destiny,0,0,0,1,0,0,0,0
Western Front Tank Leader,0,0,0,0,0,0,1,0
"Kolin: Frederick's First Defeat - June 18, 1757",0,0,0,0,0,0,1,0
Guelphs and Ghibellines,0,0,0,0,0,0,1,0
Tumble Town,0,0,0,0,0,0,0,0
The Uncharted Seas,0,0,0,0,0,0,1,0
"Thunder in the Ozarks: Battle for Pea Ridge, March 1862",0,0,0,0,0,0,1,0
Frontier Wars,0,0,0,0,0,0,0,0
Western Desert,0,0,0,0,0,0,1,0
Mediterranean Empires,0,0,0,1,0,0,1,0
Hyle,0,0,0,0,1,0,0,0
Offerings,0,0,0,1,0,0,0,0
Cartel,0,0,0,1,0,1,0,0
Pack of Heroes,0,0,1,0,0,1,0,0
Stratego Waterloo,0,0,0,1,0,0,0,0
This Terrible Sound,0,0,0,0,0,0,1,0
